,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
GRU-sg9,4.3511,0.942,0.0145,1.7454,0.7415,3.125e-06,0.0565,4.3932,4.2713,0.0015,0.9441,0.9409,0.0002,0.0147,0.0142,0.0685,1.8308,1.663,0.0275,0.78,0.7175
DNN-sg9,4.9724,0.9242,0.0186,4.6878,1.4568,3.125e-06,0.1174,5.1331,4.8561,0.0036,0.9278,0.9193,0.0004,0.019,0.018,0.0571,4.7676,4.6378,0.0298,1.4988,1.4324
LSTM-sg9,4.41,0.9404,0.0146,1.5358,0.7016,3.125e-06,0.0178,4.4261,4.3851,0.0005,0.9411,0.94,0.0001,0.0147,0.0145,0.0436,1.584,1.4784,0.0152,0.7156,0.6805
CNN-ew2,13.1378,0.3749,0.0822,30.2885,10.0311,3.90625e-07,5.611,17.108,5.2026,0.3834,0.9171,0.1035,0.0451,0.1141,0.0184,16.7511,42.3695,6.6004,6.0501,14.4775,1.4772
RNN-ew2,4.7504,0.9309,0.0151,4.9021,0.8804,1.25e-05,0.0669,4.8028,4.656,0.0019,0.9336,0.9293,0.0002,0.0154,0.0148,0.119,5.0685,4.7969,0.0184,0.8996,0.8555
GRU-ew2,4.5492,0.9366,0.0143,4.8043,0.8067,2.5e-05,0.0726,4.62,4.4493,0.002,0.9394,0.9346,0.0002,0.0145,0.014,0.0905,4.8839,4.6778,0.0256,0.8377,0.7749
DNN-ew2,5.0096,0.9231,0.0186,6.509,1.4931,3.125e-06,0.054,5.0657,4.9367,0.0017,0.9254,0.9214,0.0007,0.0196,0.018,0.0639,6.595,6.4422,0.0221,1.5122,1.4621
LSTM-ew2,4.6039,0.9351,0.0139,4.71,0.7855,6.25e-06,0.0741,4.7048,4.529,0.0021,0.9372,0.9322,0.0002,0.0141,0.0137,0.0355,4.7563,4.67,0.0236,0.8136,0.7559
CNN-ew3,13.0808,0.3778,0.0823,31.3966,10.2393,7.8125e-07,5.6601,17.0865,5.0762,0.3842,0.9211,0.1058,0.0454,0.1145,0.0181,18.3009,44.4396,5.5155,6.1831,14.7026,1.4957
RNN-ew3,4.5896,0.9355,0.0149,3.9121,0.8344,3.125e-06,0.0551,4.6669,4.5425,0.0015,0.9368,0.9333,0.0001,0.015,0.0147,0.1019,4.0535,3.8173,0.0351,0.8817,0.7977
GRU-ew3,4.4386,0.9396,0.0142,3.809,0.7899,6.25e-06,0.0434,4.484,4.3801,0.0012,0.9412,0.9384,0.0003,0.0145,0.0138,0.1078,3.915,3.6611,0.0088,0.802,0.7814
DNN-ew3,5.0016,0.9234,0.0183,5.7836,1.4834,3.125e-06,0.0649,5.064,4.9121,0.002,0.9261,0.9215,0.0002,0.0185,0.0181,0.0519,5.8432,5.7167,0.0138,1.5,1.4661
LSTM-ew3,4.3627,0.9417,0.0132,3.4504,0.7473,2.5e-05,0.0587,4.4048,4.2797,0.0016,0.9439,0.9406,0.0001,0.0133,0.013,0.085,3.5546,3.3463,0.0129,0.7649,0.7344
CNN-ew4,8.9894,0.6527,0.0503,18.5051,5.8535,1.5625e-06,5.7086,17.0621,4.8752,0.3849,0.9272,0.1083,0.0457,0.1149,0.0179,18.6785,44.9204,5.2599,6.2095,14.6349,1.4415
RNN-ew4,4.5038,0.9379,0.0147,3.301,0.8599,1.25e-05,0.0346,4.5329,4.4551,0.0009,0.9392,0.9371,0.0002,0.015,0.0145,0.0653,3.3932,3.2502,0.0021,0.8627,0.8578
GRU-ew4,4.372,0.9414,0.014,3.0119,0.7475,5e-05,0.0195,4.3974,4.3501,0.0005,0.942,0.9408,0.0001,0.0142,0.0138,0.1413,3.2111,2.8983,0.0333,0.7946,0.7234
DNN-ew4,4.993,0.9236,0.018,5.312,1.4589,1.5625e-06,0.087,5.1135,4.9112,0.0027,0.9261,0.9199,0.0001,0.0181,0.0179,0.0686,5.3987,5.2311,0.0311,1.5022,1.43
LSTM-ew4,4.3017,0.9433,0.0135,2.9674,0.759,1.25e-05,0.0227,4.3321,4.2775,0.0006,0.944,0.9425,0.0002,0.0137,0.0132,0.139,3.1518,2.8163,0.0153,0.7804,0.7456
