,E_Coli,TRC,DO,TSS*,Colour,Turbidity,pH,TON,BOD5,NH3_N
123,39,0.04,6.34,3,125,0.29,7.25,,1.1,0.96
124,42,0.05,6.26,2.9,126,0.23,7.28,,1.14,0.56
125,26,0.01,6.54,3,127,0.26,7.27,,1.49,0.27
126,42,0.02,6.24,3.6,122,0.41,7.35,,0.9,0.25
127,36,0.09,6.34,3,126,0.3,7.25,4,1.31,1.3
128,34,0.03,6.16,3,128,0.21,7.26,6,0.91,1.53
129,28,0.07,6.11,3.2,126,0.21,7.26,6,1.21,1.2
130,44,0.02,6.34,2.9,134,0.2,7.28,6,0.88,0.43
131,45,0.04,6.64,3,137,0.24,7.39,6,0.74,0.09
132,47,0.04,6.56,3.1,134,0.23,7.38,2,0.67,0.46
133,35,0.1,6.55,3,131,0.23,7.36,4,0.7,0.54
134,35,0.03,6.15,2.9,114,0.27,7.3,6,0.69,1.73
135,33,0.02,6.13,2.9,122,0.2,7.31,4,0.86,1.65
136,27,0.02,6.15,2.9,124,0.24,7.28,6,0.91,0.15
137,26,0.01,6.42,2.9,124,0.18,7.28,6,0.86,0.12
138,19,0.01,6.68,2.9,114,0.16,7.33,3,0.58,0.03
139,25,0.02,6.53,2.9,115,0.17,7.34,4,0.55,0.03
140,25,0.03,6.58,3,114,0.17,7.36,3,0.53,0.03
,25.28114286,0.032302158,6.296785714,2.667407407,83.05035971,0.191571429,7.050285714,7.04742268,1.055428571,1.479352518
