,Colour(t-23),Colour(t-22),Colour(t-21),Colour(t-20),Colour(t-19),Colour(t-18),Colour(t-17),Colour(t-16),Colour(t-15),Colour(t-14),Colour(t-13),Colour(t-12),Colour(t-11),Colour(t-10),Colour(t-9),Colour(t-8),Colour(t-7),Colour(t-6),Colour(t-5),Colour(t-4),Colour(t-3),Colour(t-2),Colour(t-1),Colour(t),Colour(t+1),Colour(t+2),Colour(t+3)
212,108.82857142857137,109.42857142857136,107.97142857142852,106.02857142857138,104.82857142857137,104.4428571428571,103.17142857142852,104.61428571428569,107.88571428571424,108.27142857142852,107.88571428571422,110.27142857142852,111.58571428571425,111.51428571428563,113.89999999999992,117.98571428571422,119.47142857142852,119.1571428571428,118.42857142857136,115.8571428571428,112.04285714285707,109.5571428571428,111.71428571428568,116.74285714285708,119.9428571428571,120.72857142857136,119.31428571428565
213,109.42857142857136,107.97142857142852,106.02857142857138,104.82857142857137,104.4428571428571,103.17142857142852,104.61428571428569,107.88571428571424,108.27142857142852,107.88571428571422,110.27142857142852,111.58571428571425,111.51428571428563,113.89999999999992,117.98571428571422,119.47142857142852,119.1571428571428,118.42857142857136,115.8571428571428,112.04285714285707,109.5571428571428,111.71428571428568,116.74285714285708,119.9428571428571,120.72857142857136,119.31428571428565,116.84285714285708
214,107.97142857142852,106.02857142857138,104.82857142857137,104.4428571428571,103.17142857142852,104.61428571428569,107.88571428571424,108.27142857142852,107.88571428571422,110.27142857142852,111.58571428571425,111.51428571428563,113.89999999999992,117.98571428571422,119.47142857142852,119.1571428571428,118.42857142857136,115.8571428571428,112.04285714285707,109.5571428571428,111.71428571428568,116.74285714285708,119.9428571428571,120.72857142857136,119.31428571428565,116.84285714285708,113.79999999999994
215,106.02857142857138,104.82857142857137,104.4428571428571,103.17142857142852,104.61428571428569,107.88571428571424,108.27142857142852,107.88571428571422,110.27142857142852,111.58571428571425,111.51428571428563,113.89999999999992,117.98571428571422,119.47142857142852,119.1571428571428,118.42857142857136,115.8571428571428,112.04285714285707,109.5571428571428,111.71428571428568,116.74285714285708,119.9428571428571,120.72857142857136,119.31428571428565,116.84285714285708,113.79999999999994,110.82857142857137
216,104.82857142857137,104.4428571428571,103.17142857142852,104.61428571428569,107.88571428571424,108.27142857142852,107.88571428571422,110.27142857142852,111.58571428571425,111.51428571428563,113.89999999999992,117.98571428571422,119.47142857142852,119.1571428571428,118.42857142857136,115.8571428571428,112.04285714285707,109.5571428571428,111.71428571428568,116.74285714285708,119.9428571428571,120.72857142857136,119.31428571428565,116.84285714285708,113.79999999999994,110.82857142857137,103.18571428571424
217,104.4428571428571,103.17142857142852,104.61428571428569,107.88571428571424,108.27142857142852,107.88571428571422,110.27142857142852,111.58571428571425,111.51428571428563,113.89999999999992,117.98571428571422,119.47142857142852,119.1571428571428,118.42857142857136,115.8571428571428,112.04285714285707,109.5571428571428,111.71428571428568,116.74285714285708,119.9428571428571,120.72857142857136,119.31428571428565,116.84285714285708,113.79999999999994,110.82857142857137,103.18571428571424,100.5571428571428
218,103.17142857142852,104.61428571428569,107.88571428571424,108.27142857142852,107.88571428571422,110.27142857142852,111.58571428571425,111.51428571428563,113.89999999999992,117.98571428571422,119.47142857142852,119.1571428571428,118.42857142857136,115.8571428571428,112.04285714285707,109.5571428571428,111.71428571428568,116.74285714285708,119.9428571428571,120.72857142857136,119.31428571428565,116.84285714285708,113.79999999999994,110.82857142857137,103.18571428571424,100.5571428571428,102.51428571428566
219,104.61428571428569,107.88571428571424,108.27142857142852,107.88571428571422,110.27142857142852,111.58571428571425,111.51428571428563,113.89999999999992,117.98571428571422,119.47142857142852,119.1571428571428,118.42857142857136,115.8571428571428,112.04285714285707,109.5571428571428,111.71428571428568,116.74285714285708,119.9428571428571,120.72857142857136,119.31428571428565,116.84285714285708,113.79999999999994,110.82857142857137,103.18571428571424,100.5571428571428,102.51428571428566,106.37142857142852
220,107.88571428571424,108.27142857142852,107.88571428571422,110.27142857142852,111.58571428571425,111.51428571428563,113.89999999999992,117.98571428571422,119.47142857142852,119.1571428571428,118.42857142857136,115.8571428571428,112.04285714285707,109.5571428571428,111.71428571428568,116.74285714285708,119.9428571428571,120.72857142857136,119.31428571428565,116.84285714285708,113.79999999999994,110.82857142857137,103.18571428571424,100.5571428571428,102.51428571428566,106.37142857142852,103.18571428571424
221,108.27142857142852,107.88571428571422,110.27142857142852,111.58571428571425,111.51428571428563,113.89999999999992,117.98571428571422,119.47142857142852,119.1571428571428,118.42857142857136,115.8571428571428,112.04285714285707,109.5571428571428,111.71428571428568,116.74285714285708,119.9428571428571,120.72857142857136,119.31428571428565,116.84285714285708,113.79999999999994,110.82857142857137,103.18571428571424,100.5571428571428,102.51428571428566,106.37142857142852,103.18571428571424,100.79999999999994
