,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
CNN-sg9,0.5998,0.2051,0.8445,0.3425,0.2838,0.4349,0.7909,-0.2712,0.0925,0.0302,0.1315,0.0579,33.4865,20.0819,58.7455,9.6139
RNN-sg9,0.3661,0.0247,0.4011,0.3477,0.7599,0.0331,0.7845,0.7132,0.0626,0.0034,0.0671,0.0588,10.0943,1.4264,11.9545,8.4884
GRU-sg9,0.3805,0.0125,0.3951,0.3646,0.7417,0.0169,0.7631,0.7217,0.0625,0.0014,0.0643,0.0608,12.0859,0.8663,12.8628,10.877
DNN-sg9,0.409,0.0694,0.506,0.3474,0.6931,0.1066,0.7848,0.5436,0.065,0.0092,0.078,0.0581,19.5454,12.8132,37.6501,9.8354
LSTM-sg9,0.4178,0.0196,0.4386,0.3916,0.6882,0.0288,0.7266,0.6571,0.0688,0.0022,0.0714,0.0659,12.6247,1.1907,13.9516,11.0634
CNN-ew2,0.7832,0.0014,0.785,0.7815,-0.0934,0.004,-0.0885,-0.0983,0.1189,0.0003,0.1192,0.1186,55.3973,0.2963,55.8042,55.1075
RNN-ew2,0.3193,0.0124,0.3282,0.3018,0.8181,0.0139,0.8377,0.8081,0.0538,0.002,0.0556,0.051,11.0396,0.4469,11.4024,10.41
GRU-ew2,0.4381,0.0393,0.4934,0.4061,0.6552,0.0632,0.7061,0.5662,0.0694,0.0046,0.0759,0.0658,20.1488,3.2063,24.6823,17.8039
DNN-ew2,0.4245,0.0908,0.5516,0.3455,0.6642,0.1469,0.7873,0.4577,0.0648,0.011,0.0804,0.0568,18.4905,7.5925,29.1953,12.4148
LSTM-ew2,0.4109,0.0231,0.4368,0.3808,0.6981,0.0336,0.7416,0.6599,0.0672,0.0037,0.0705,0.0621,16.488,2.1933,18.1348,13.3882
CNN-ew3,0.6906,0.1641,0.8083,0.4585,0.102,0.37,0.6253,-0.1645,0.107,0.0232,0.1237,0.0742,44.569,16.9964,56.8841,20.535
RNN-ew3,0.3624,0.0264,0.3962,0.3317,0.7647,0.0344,0.8039,0.7202,0.0606,0.0036,0.0652,0.0564,12.4046,2.1954,14.6482,9.4242
GRU-ew3,0.3801,0.0251,0.4152,0.3578,0.7414,0.0347,0.7719,0.6928,0.0626,0.003,0.0668,0.0604,13.8209,1.7674,16.3009,12.3118
DNN-ew3,0.3758,0.0468,0.4418,0.3388,0.7444,0.0654,0.7954,0.6521,0.0591,0.0029,0.0632,0.0569,12.8344,2.7369,16.7034,10.8038
LSTM-ew3,0.412,0.0183,0.4378,0.3978,0.6969,0.0273,0.718,0.6584,0.0672,0.0024,0.0704,0.0647,14.2952,1.0908,15.5757,12.9099
CNN-ew4,0.5765,0.1942,0.8254,0.3514,0.3404,0.414,0.7799,-0.2143,0.0879,0.0293,0.1273,0.0573,31.0655,19.5862,57.4664,10.6075
RNN-ew4,0.3405,0.0174,0.3646,0.3241,0.7928,0.0214,0.8128,0.7631,0.0583,0.0024,0.0616,0.0559,9.767,1.0393,11.2359,8.9872
GRU-ew4,0.4511,0.0631,0.5187,0.3668,0.6303,0.0989,0.7602,0.5205,0.0714,0.0067,0.0786,0.0624,18.687,4.8464,24.0682,12.3204
DNN-ew4,0.5792,0.1042,0.7087,0.4535,0.3826,0.2166,0.6334,0.1048,0.0837,0.0154,0.1041,0.0669,29.1554,11.5347,43.6109,15.3816
LSTM-ew4,0.4509,0.0139,0.4672,0.4332,0.6373,0.0223,0.6656,0.611,0.0736,0.0024,0.0759,0.0703,15.1632,1.8285,17.3925,12.9138
CNN-or,0.4116,0.0577,0.4873,0.3473,0.6921,0.0865,0.7851,0.5767,0.0621,0.0063,0.071,0.057,17.5586,4.381,23.662,13.5847
RNN-or,0.387,0.0296,0.4288,0.3639,0.7315,0.042,0.764,0.6722,0.0629,0.0032,0.0674,0.0604,17.5111,1.868,20.0945,15.7412
GRU-or,0.3882,0.0489,0.4513,0.332,0.7271,0.0686,0.8036,0.6371,0.0628,0.0058,0.0704,0.0564,17.2078,3.8069,22.3153,13.1795
DNN-or,0.3611,0.0099,0.3751,0.3541,0.7674,0.0128,0.7765,0.7492,0.0564,0.0003,0.0566,0.056,13.2598,0.4933,13.8927,12.6893
LSTM-or,0.3921,0.0061,0.3992,0.3844,0.7259,0.0084,0.7366,0.716,0.0656,0.0014,0.0674,0.0639,17.9405,0.6498,18.6733,17.0938
